country,keyword,monthly_search_volume,cpc_usd,keyword_difficulty,intent,measured_on
United States,crypto casino,22200,12.47,62,commercial,2026-09-12
United States,best crypto casino,6600,11.64,27,commercial,2026-09-12
United States,crypto casino no deposit bonus,1600,9.66,10,commercial,2026-09-12
United States,crypto casinos usa,880,14.02,73,commercial,2026-09-12
United States,crypto casino online,590,12.15,22,commercial,2026-09-12
United States,best crypto casino usa,480,14.08,56,commercial,2026-09-12
United States,crypto casino no kyc,320,7.17,8,commercial,2026-09-12
United States,best crypto casino no kyc,210,7.08,17,commercial,2026-09-12
United States,instant withdrawal no kyc casino,210,8.62,7,transactional,2026-09-12
United States,list of crypto gambling sites,170,25.38,40,commercial,2026-09-12
United States,instant withdrawal crypto casino,110,9.77,18,transactional,2026-09-12
Canada,best crypto casino,1300,22.61,31,commercial,2026-09-12
Canada,best crypto casino no kyc,90,19.07,12,commercial,2026-09-12
Canada,instant withdrawal no kyc casino,70,36.34,18,transactional,2026-09-12
United Kingdom,crypto casinos,6600,8.16,23,commercial,2026-09-12
United Kingdom,best crypto casino,1900,,43,commercial,2026-09-12
United Kingdom,crypto casino no deposit bonus,480,,5,commercial,2026-09-12
United Kingdom,best crypto casino uk,320,,19,commercial,2026-09-12
United Kingdom,best crypto casino no kyc,210,,12,commercial,2026-09-12
United Kingdom,crypto casino online,210,,28,commercial,2026-09-12
